iter	PRAUC	Logloss
0	0.9394584668	0.6495040155
1	1	0.5681372021
2	1	0.5192163458
3	1	0.4962001718
4	1	0.4700082995
5	1	0.4542390834
6	1	0.424162581
7	1	0.4028409027
8	1	0.3810029716
9	1	0.3566960507
10	1	0.3303563509
11	1	0.3220597786
12	1	0.3180740328
13	1	0.2891139582
14	1	0.2706462353
15	1	0.2497976567
16	1	0.2393948634
17	1	0.2244840025
18	1	0.2139028347
19	1	0.1992773011
20	1	0.1934080684
21	1	0.1810207609
22	1	0.1706597265
23	1	0.1619052725
24	1	0.153024683
25	1	0.1469811726
26	1	0.1405443199
27	1	0.134279292
28	1	0.1275090669
29	1	0.1178741475
30	1	0.1140613806
31	1	0.1089548126
32	1	0.1063544798
33	1	0.1015605998
34	1	0.09789494718
35	1	0.09524235857
36	1	0.09056986908
37	1	0.08837234099
38	1	0.08498445783
39	1	0.08289240331
40	1	0.07915785369
41	1	0.07693118156
42	1	0.07433734665
43	1	0.07294309008
44	1	0.07049388956
45	1	0.06691480328
46	1	0.06494558626
47	1	0.06332040935
48	1	0.0607901768
49	1	0.05859826676
50	1	0.05628630982
51	1	0.05326719672
52	1	0.05172231079
53	1	0.05057413354
54	1	0.04963510327
55	1	0.04844264148
56	1	0.04778558752
57	1	0.04680356952
58	1	0.04514293041
59	1	0.04459298185
60	1	0.04353089031
61	1	0.04246532836
62	1	0.04210028183
63	1	0.04075615499
64	1	0.03953554325
65	1	0.03846491016
66	1	0.03701028515
67	1	0.03622948993
68	1	0.03564912324
69	1	0.03392981924
70	1	0.03269924662
71	1	0.032097149
72	1	0.03145677988
73	1	0.03078965753
74	1	0.02988987935
75	1	0.02896904879
76	1	0.0282130143
77	1	0.02776406771
78	1	0.02756093087
79	1	0.02718395698
80	1	0.02671166814
81	1	0.02626501368
82	1	0.02578526994
83	1	0.02547466324
84	1	0.02497576459
85	1	0.02443649161
86	1	0.02383362104
87	1	0.0234887344
88	1	0.02305125867
89	1	0.02259276818
90	1	0.02211533716
91	1	0.02171911449
92	1	0.02126219711
93	1	0.02072664095
94	1	0.02049228173
95	1	0.02021194947
96	1	0.01996373747
97	1	0.01964063335
98	1	0.01940321261
99	1	0.01914984839
100	1	0.01891815141
101	1	0.01862266802
102	1	0.01841327061
103	1	0.01817359758
104	1	0.01773368093
105	1	0.01748817041
106	1	0.01708300513
107	1	0.01677701681
108	1	0.01628895043
109	1	0.01593231271
110	1	0.01565754572
111	1	0.0153764766
112	1	0.01500092612
113	1	0.01467488622
114	1	0.01443970663
115	1	0.01427020612
116	1	0.01410784324
117	1	0.01384988311
118	1	0.01367674036
119	1	0.01340656127
120	1	0.01324784439
121	1	0.01304010071
122	1	0.01289586952
123	1	0.01276998306
124	1	0.01267513338
125	1	0.01251907063
126	1	0.01233015373
127	1	0.01217316174
128	1	0.01206033281
129	1	0.01191851874
130	1	0.01172872513
131	1	0.01157459173
132	1	0.01141964532
133	1	0.01125502368
134	1	0.01114089957
135	1	0.01098688261
136	1	0.01085313971
137	1	0.01070588859
138	1	0.01058887844
139	1	0.0104960257
140	1	0.01040655012
141	1	0.01030854304
142	1	0.01020354493
143	1	0.0100895171
144	1	0.01000229391
145	1	0.009924297098
146	1	0.00985319187
147	1	0.009774800587
148	1	0.009671480812
149	1	0.009568362076
150	1	0.009485741135
151	1	0.00938728959
152	1	0.00930213026
153	1	0.009221072549
154	1	0.009150342617
155	1	0.009061019722
156	1	0.009022130044
157	1	0.008937378428
158	1	0.008899162592
159	1	0.00882691747
160	1	0.008772344984
161	1	0.008689247841
162	1	0.008611035391
163	1	0.008535174534
164	1	0.008460115646
165	1	0.008392685709
166	1	0.008320079954
167	1	0.00827109025
168	1	0.008200902292
169	1	0.008141077266
170	1	0.008072674872
171	1	0.008006006872
172	1	0.00793997194
173	1	0.007875790623
174	1	0.007812984593
175	1	0.00775089497
176	1	0.007690779546
177	1	0.007630777138
178	1	0.007572110096
179	1	0.007532357464
180	1	0.007475124362
181	1	0.007441180796
182	1	0.007385387125
183	1	0.007347644806
184	1	0.007293226206
185	1	0.00723969897
186	1	0.007187244449
187	1	0.007135960299
188	1	0.007100830217
189	1	0.007050941484
190	1	0.007021242754
191	1	0.006972016475
192	1	0.006923653175
193	1	0.006876016436
194	1	0.006848281256
195	1	0.00680176925
196	1	0.006769942555
197	1	0.006743219355
198	1	0.006697950737
199	1	0.006653458033
